augmentation_source,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented
evie,,"1 Bells Blvd, Kingscliff, 2487",evie networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00007,"-28.276903,153.577078",matched,0.17,nearby_identity,6398,Salt Village – Kingscliff,1 Bells Blvd  Kingscliff 2487,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"1 Frederick St, Sydney, 2064",evie networks,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00017,"-33.817079,151.188937",matched,0.1,nearby_identity,7285,Home HQ – Artarmon,1 Frederick St  Artarmon 2064,Evie Networks,CCS Type 2,0.71/kWh + 0.04/kWh (11:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"1 Ingham Dr, Casula NSW 2170",evie networks,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170,ARENA - Driving the Nation,127,Sydney - South West,New South Wales,ev_00024,"-33.948829,150.900270",matched,0.03,nearby_identity,4859,Casula Mall,1 Ingham Dr  Casula 2170,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"1 Perry St, Batemans Bay, 2536",evie networks,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00037,"-35.707372,150.176167",matched,33.1,nearby_identity,6798,Batemans Bay Village Centre,1 Perry Street  Batemans Bay 2536,Evie Networks,CCS Type 2,0.74/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"10 Brookfield Rd, Minto NSW 2566",evie networks,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566,ARENA - Driving the Nation,123,Sydney - Outer South West,New South Wales,ev_00051,"-34.030943,150.849029",matched,3.33,nearby_identity,6401,Minto Mall,10 Brookfield Road  Minto 2566,Evie Networks,CCS Type 2; CHAdeMO,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"10 Elizabeth St, Bathurst, 2795",evie networks,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795,Existing Fast Chargers,103,Central West,New South Wales,ev_00054,"-33.414172,149.583356",matched,0.07,nearby_identity,7320,10 Elizabeth Street Parking – Bathurst,10 Elizabeth Street  Bathurst 2795,Evie Networks,CCS Type 2; CHAdeMO,0.82/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"119 Stenhouse Drive, Cameron Park, 2285",evie networks,8,DC,350 kW,-32.89647352,151.5977107,Lake Macquarie City Council,2285,Existing Fast Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00103,"-32.896474,151.597711",matched,0.07,nearby_identity,6211,Ampol – Cameron Park,119 Stenhouse Drive  Cameron Park 2285,Evie Networks,CCS Type 2,0.79/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"12 Lord St, Botany NSW 2019",evie networks,4,DC,75 kW,-33.939429,151.1970375,Bayside Council,2019,ARENA - Driving the Nation,117,Sydney - City and Inner South,New South Wales,ev_00111,"-33.939429,151.197037",matched,112.77,nearby_identity,4539,Vanguard Logistics – Botany,12 Lord Street  Botany 2019,Evie Networks,CCS Type 2; CHAdeMO,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"128 Flood Street, Leichhardt NSW 2040",evie networks,4,DC,75 kW,-33.88518,151.148629,Inner West Council,2040,ARENA - Driving the Nation,120,Sydney - Inner West,New South Wales,ev_00127,"-33.885180,151.148629",matched,0.01,nearby_identity,4505,MarketPlace Leichhardt,128 Flood Street  Leichhardt 2040,Evie Networks,CCS Type 2,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"1-3 Dural St, Hornsby NSW 2077",evie networks,4,DC,50 kW,-33.70276181,151.0964792,"Hornsby, The Council of the Shire of",2077,ARENA - Driving the Nation,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00128,"-33.702762,151.096479",matched,1.27,nearby_identity,7322,1-3 Dural Street Parking – Hornsby,1-3 Dural Street  Hornsby 2077,Evie Networks,CCS Type 2; CHAdeMO,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"13125 Hume Hwy, Sutton Forest, 2577",evie networks,8,DC,350 kW,-34.60721926,150.2251632,Wingecarribee Shire Council,2577,Existing Fast Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00134,"-34.607219,150.225163",matched,13.18,nearby_identity,6774,McDonalds – Sutton Forest West,13125 Hume Hwy  Sutton Forest 2577,Evie Networks,CCS Type 2,0.77/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"152 Pacific Hwy, 36 Josephson St, Swansea NSW 2281",evie networks,4,DC,50 kW,-33.088721,151.637587,Lake Macquarie City Council,2281,ARENA - Driving the Nation,111,Newcastle and Lake Macquarie,New South Wales,ev_00186,"-33.088721,151.637587",matched,0.04,nearby_identity,6077,Dan Murphy’s – Swansea,152 Pacific Hwy  Swansea 2281,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"18 Victoria Avenue, Castle Hill NSW 2154",evie networks,4,DC,50 kW,-33.727803,150.976049,The Hills Shire Council,2154,ARENA - Driving the Nation,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00229,"-33.727803,150.976049",matched,2.49,nearby_identity,7191,HomeCo – Castle Hill,18 Victoria Avenue  Castle Hill 2154,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"188 Raglan St, Sydney, 2088",evie networks,4,DC,50 kW,-33.83108413,151.2436587,Mosman Municipal Council,2088,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00239,"-33.831084,151.243659",matched,0.09,nearby_identity,5360,188 Raglan Street Parking – Mosman,188 Raglan St  Mosman 2088,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"1985 Camden Valley Way, Prestons NSW 2170",evie networks,4,DC,150 kW,-33.95224765,150.8557529,Liverpool City Council,2170,ARENA - Driving the Nation,127,Sydney - South West,New South Wales,ev_00257,"-33.952248,150.855753",matched,1.25,nearby_identity,4417,HomeCo – Prestons,1975-1985 Camden Valley Way  Prestons 2170,Evie Networks,CCS Type 2,0.71/kWh + 0.04/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
evie,,"2 Hercules Street, Murrumbateman, 2582",evie networks,2,DC,50 kW,-34.96936041,149.03,Yass Valley Council,2582,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00270,"-34.969360,149.030000",matched,0.05,nearby_identity,7321,Murrumbateman Country Inn – AA009A,"2 Hercules Street, Murrumbateman NSW  Murrumbateman 2582",Evie Networks,CCS Type 2; CHAdeMO,0.60/kWh + 0.09/kWh (7:00 AM-7:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True
