Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,"01 Wallgrove Road, Sydney, 2766",bp,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00002,"-33.811004,150.849597",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"1 Bay St, Sydney, 2037",tesla motors,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00006,"-33.883504,151.194433",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,review_identity,False,review_identity,False,review_identity,False
,"1 Little Walker St, Casino, NSW 2470, Australia",nrma electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622,TfNSW Regional,101,Capital Region,New South Wales,ev_00028,"-35.442745,149.791330",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"1 Plunkett St, Sydney, 2065",exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00038,"-33.821559,151.196412",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_identity,False,review_identity,False
,"1 Wharf St, Tweed Heads, 2485",tesla motors,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00048,"-28.173790,153.544516",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"1/9 Railway Parade, Kogarah NSW 2217",evie networks,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217,ARENA - Driving the Nation,119,Sydney - Inner South West,New South Wales,ev_00050,"-33.962469,151.132470",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"106 Parraween St, Sydney, 2090",evie networks,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00068,"-33.827350,151.230337",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"1068 Pittwater Rd, Sydney, 2097",jolt,2,DC,25 kW,-33.73111016,151.301011,Northern Beaches Council,2097,Existing Fast Chargers,122,Sydney - Northern Beaches,New South Wales,ev_00070,"-33.731110,151.301011",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"109 Beecroft Rd, Sydney, 2119",jolt,2,DC,25 kW,-33.75051656,151.0650831,"Hornsby, The Council of the Shire of",2119,Existing Fast Chargers,126,Sydney - Ryde,New South Wales,ev_00073,"-33.750517,151.065083",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"10W Apsley St, Walcha NSW 2354, Australia",nrma electric,4,DC,50 kW,-29.960127,146.8578887,Walcha Council,2839,TfNSW Regional,105,Far West and Orana,New South Wales,ev_00077,"-29.960127,146.857889",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
