OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,,", Muswellbrook, 2333",EVUp,2,AC,22 kW,-32.26224229,150.8901391,Muswellbrook Shire Council,2333,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00001,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"01 Wallgrove Road, Sydney, 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00002,"-33.811004,150.849597",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional,110,New England and North West,New South Wales,ev_00003,"-30.511874,151.669395",matched,29.23,nearby_identity,170824,Armidale Visitors Centre,"82 Marsh Street, Armidale, 2350",NRMA,CCS (Type 2); CHAdeMO,Currently free but will be fee at some point.,Public,,1,Operational,2020-12-11T13:42:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/170824,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,unmatched,False
,,"1 Balfour St, Sydney, 2070",Chargefox,7,AC,22 kW,-33.77410115,151.167035,Ku-ring-gai Council,2070,Existing Destination Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00004,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Bay Ln, Byron Bay, 2481",Tesla,2,AC,19 kW,-28.64181886,153.6136326,Byron Shire Council,2481,Existing Destination Chargers,112,Richmond - Tweed,New South Wales,ev_00005,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Bay St, Sydney, 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00006,"-33.883504,151.194433",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,review_identity,False,review_identity,False,review_identity,False
,,"1 Bells Blvd, Kingscliff, 2487",Evie,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00007,"-28.276903,153.577078",matched,0.17,nearby_identity,6398,Salt Village – Kingscliff,1 Bells Blvd  Kingscliff 2487,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie,matched,True,unmatched,False,unmatched,False,unmatched,False
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84103708,151.2422452,Mosman Municipal Council,2088,Existing Destination Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00008,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84141846,151.2426306,Mosman Municipal Council,2088,Existing Destination Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00009,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Cathedral Sq, Sydney, 2000",AXCharge,3,AC,22 kW,-33.87136841,151.2137407,"Sydney, Council of the City of",2000,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00010,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Dalgal Way, Sydney, 2037",Tesla,2,AC,22 kW,-33.87637442,151.1776376,"Sydney, Council of the City of",2037,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00011,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Dalgal Way, Sydney, 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00012,"-33.876501,151.178000",matched,26.34,nearby_identity,node/6965052432,Tesla Supercharger,,Tesla,CCS Type 2,,yes,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/6965052432,True,osm,osm,unmatched,False,unmatched,False,unmatched,False,matched,True
,,"1 Eels Pl, Sydney, 2150",Everty,3,AC,22 kW,-33.8064585,151.0017477,"Parramatta, Council of the City of",2150,Existing Destination Chargers,125,Sydney - Parramatta,New South Wales,ev_00013,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Elizabeth St, Merimbula, 2548",Tesla,1,AC,8 kW,-36.89530635,149.9118809,Bega Valley Shire Council,2548,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00014,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Ferguson Cres, Mittagong, 2575",Tesla,1,AC,22 kW,-34.44729434,150.4615586,Wingecarribee Shire Council,2575,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00015,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Ferrers Rd, Sydney, 2766",Tesla,2,AC,22 kW,-33.80382587,150.8677297,Blacktown City Council,2766,Existing Destination Chargers,116,Sydney - Blacktown,New South Wales,ev_00016,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
